to_review,continent,nation,country,state,city,region,river,county,locale,building,locus,notes,township,politicalregion,culturalregion,subregion,placepublished,uncontrolled_value,proximity_note,uncertainty_note,place_note,occurrences,norm_combineds,norm_fingerprints,clean_fingerprint,clean_combined
,North America,,USA,North Carolina,Hot Springs,,,,,,,,,,,,,,,,,2,country: USA|||state: North Carolina|||city: Hot Springs,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Ib3QgU3ByaW5nc+KQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfSG90IFNwcmluZ3PikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,continent: North America|||country: USA|||state: North Carolina|||city: Hot Springs
,North America,,USA,North Carolina,Jacksonville,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Jacksonville,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9KYWNrc29udmlsbGXikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfSmFja3NvbnZpbGxl4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,continent: North America|||country: USA|||state: North Carolina|||city: Jacksonville
,North America,,USA,North Carolina,Kitty Hawk,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Kitty Hawk,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9LaXR0eSBIYXdr4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfS2l0dHkgSGF3a+KQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Kitty Hawk
,North America,,USA,North Carolina,Marshall,,,,,,,,,,,,,,,,,24,country: USA|||state: North Carolina|||city: Marshall,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9NYXJzaGFsbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfTWFyc2hhbGzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,continent: North America|||country: USA|||state: North Carolina|||city: Marshall
,North America,,USA,North Carolina,Morganton,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Morganton,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9Nb3JnYW50b27ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfTW9yZ2FudG9u4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,continent: North America|||country: USA|||state: North Carolina|||city: Morganton
,North America,,USA,North Carolina,PENLAND,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: PENLAND,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9QRU5MQU5E4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfUEVOTEFOROKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: PENLAND
,North America,,USA,North Carolina,Penland,,,,,,,,,,,,,,,,,4,country: USA|||state: North Carolina|||city: Penland,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9QZW5sYW5k4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfUGVubGFuZOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Penland
,North America,,USA,North Carolina,Raleigh,,,,,,,,,,,,,,,,,3,country: USA|||state: North Carolina|||city: Raleigh,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfUmFsZWlnaOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Raleigh
,North America,,USA,North Carolina,Shelton Laurel,,,,,,,,,,,,,,,,,2,country: USA|||state: North Carolina|||city: Shelton Laurel,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TaGVsdG9uIExhdXJlbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfU2hlbHRvbiBMYXVyZWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,continent: North America|||country: USA|||state: North Carolina|||city: Shelton Laurel
,North America,,USA,North Carolina,Spruce Pine,,,,,,,,,,,,,,,,,2,country: USA|||state: North Carolina|||city: Spruce Pine,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TcHJ1Y2UgUGluZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfU3BydWNlIFBpbmXikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,continent: North America|||country: USA|||state: North Carolina|||city: Spruce Pine
