to_review,continent,nation,country,state,city,region,river,county,locale,building,locus,notes,township,politicalregion,culturalregion,subregion,placepublished,uncontrolled_value,proximity_note,uncertainty_note,place_note,occurrences,norm_combineds,norm_fingerprints,clean_fingerprint,clean_combined
,North America,,USA,North Carolina,Stem,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Stem,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TdGVt4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfU3RlbeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Stem
,North America,,USA,North Carolina,Stem,,,,,,,,,,,,,,,,as Tallyho,1,country: USA|||state: North Carolina|||city: Tallyho,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhv4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfU3RlbeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn2FzIFRhbGx5aG8=,continent: North America|||country: USA|||state: North Carolina|||city: Stem|||place_note: as Tallyho
,North America,,USA,North Carolina,Stem,,,Granville County,,,,,,,,,,,,,as Tallyho,1,"country: USA|||state: North Carolina|||city: Tallyho , Granville County|||notes: Stem",bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhvICwgR3JhbnZpbGxlIENvdW50eeKQn25pbOKQn25pbOKQn25pbOKQn1N0ZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfR3JhbnZpbGxlIENvdW50eeKQn1N0ZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9hcyBUYWxseWhv,continent: North America|||country: USA|||state: North Carolina|||county: Granville County|||city: Stem|||place_note: as Tallyho
,North America,,USA,North Carolina,Wadesboro,,,,,,,,,,,,,,,,,2,country: USA|||state: North Carolina|||city: Wadesboro,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYWRlc2Jvcm/ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfV2FkZXNib3Jv4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,continent: North America|||country: USA|||state: North Carolina|||city: Wadesboro
,North America,,USA,North Carolina,Wendell,,,,,,,,,,,,,,,,,4,country: USA|||state: North Carolina|||city: Wendell,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XZW5kZWxs4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfV2VuZGVsbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Wendell
,North America,,USA,North Carolina,Wing,,,,,,,,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Wing,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XaW5n4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfV2luZ+KQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,continent: North America|||country: USA|||state: North Carolina|||city: Wing
,North America,,USA,North Carolina,Yanceyville,,,,,,,,,,,,,,,,,2,country: USA|||state: North Carolina|||city: Yanceyville,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9ZYW5jZXl2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,Tm9ydGggQW1lcmljYeKQn1VTQeKQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfbmls4pCfWWFuY2V5dmlsbGXikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,continent: North America|||country: USA|||state: North Carolina|||city: Yanceyville
,,,United States of America,North Carolina,Waynesville,,,,,,,,,,,,,,,,,1,country: United States of America|||state: North Carolina|||city: Waynesville,bmls4pCfVW5pdGVkIFN0YXRlcyBvZiBBbWVyaWNh4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYXluZXN2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,bmls4pCfVW5pdGVkIFN0YXRlcyBvZiBBbWVyaWNh4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYXluZXN2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,country: United States of America|||state: North Carolina|||city: Waynesville
,,,United States,North Carolina,Salem,,,Burke County,,,,,,,,,,,,,,1,country: United States|||state: North Carolina|||county: Burke County|||city: Salem,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfQnVya2UgQ291bnR54pCfU2FsZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfQnVya2UgQ291bnR54pCfU2FsZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,country: United States|||state: North Carolina|||county: Burke County|||city: Salem
,,,United States,North Carolina,Raleigh,,,Wake County,,,,,,,,,,,,,,1,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfV2FrZSBDb3VudHnikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfV2FrZSBDb3VudHnikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh
,,,,North Carolina,Beria,,,,,,,,,,,,,,,,,5,state: North Carolina|||city: Beria,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CZXJpYeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CZXJpYeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,state: North Carolina|||city: Beria
