objgeographyid,objectid,continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,primarydisplay,orig_combined
32033,30665,,USA,,,North Carolina,,Jacksonville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Jacksonville
18180,30902,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
33136,31398,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
35510,33634,,USA,,,North Carolina,,Wadesboro,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wadesboro
35512,34430,,USA,,,North Carolina,,Wendell,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wendell
35834,34520,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
35873,34570,,USA,,,North Carolina,,Wendell,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wendell
36001,35081,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
37444,35510,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
37672,35660,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
37446,35707,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
37294,36171,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
38696,37869,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38698,37870,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38705,37871,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
38707,37872,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38683,37885,,USA,,,North Carolina,,Bakersville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Bakersville
38686,37886,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38687,37887,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38700,37888,,USA,,,North Carolina,,Guntertown [sic],,,,,,,,,,1,country: USA|||state: North Carolina|||city: Guntertown [sic]
38701,37889,,USA,,,North Carolina,,Guntertown [sic],,,,,,,,,,1,country: USA|||state: North Carolina|||city: Guntertown [sic]
38678,37900,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38693,37901,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38695,37902,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
38708,37903,,USA,,,North Carolina,,Shelton Laurel,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Shelton Laurel
38710,37904,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38712,37905,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38679,37913,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38690,37914,,USA,,,North Carolina,,Bakersville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Bakersville
38697,37915,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38704,37916,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
38715,37917,,USA,,,North Carolina,,Spruce Pine,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Spruce Pine
38680,37932,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38682,37933,,USA,,,North Carolina,,Bakersville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Bakersville
38689,37934,,USA,,,North Carolina,,near Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: near Marshall
38691,37935,,USA,,,North Carolina,,Bakersville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Bakersville
38714,37936,,USA,,,North Carolina,,Spruce Pine,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Spruce Pine
38681,37958,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38688,37959,,USA,,,North Carolina,,Marshall (near),,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall (near)
38699,37960,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38706,37961,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38713,37962,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
38692,38163,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
