"ReferenceID","FormatID","LanguageID","CallNumber","Heading","AlphaHeading","Series","Title","SubTitle","StmtResponsibility","Edition","PlacePublished","YearPublished","Copyright","PhysDescription","BoilerText","Notes","LoginID","EnteredDate","DisplayDate","BeginDate","EndDate","Volume","SortNumber","NumOfPages","Journal","PublicAccess","GSRowVersion","ConservationEntityID","BeginISODate","EndISODate"
"2","3","10001",,,,,"The Family",,,,,"0",,,,,"Conversion","2012-05-14 00:00:00.000","1955","1955","0",,,,,"1","0x000000000861DC6C","184166","10000001955",
"27","1","10001",,,,,"Artforum, v. 23, no. 1",,,,,"0",,,,,"Conversion","2012-05-14 00:00:00.000","Sep 1984","0","1984",,,,,"1","0x000000000861DC74","184174",,"10000001984"
