"ConstituentID","ConstituentTypeID","Active","AlphaSort","LastName","FirstName","NameTitle","Institution","LastSoundEx","FirstSoundEx","InstitutionSoundEx","DisplayName","BeginDate","EndDate","DisplayDate","Biography","Code","Nationality","School","LoginID","EnteredDate","Remarks","Position","MiddleName","Suffix","CultureGroup","N_DisplayName","N_DisplayDate","salutation","Approved","PublicAccess","IsPrivate","DefaultNameID","SystemFlag","InternalStatus","DefaultDisplayBioID","BeginDateISO","EndDateISO","GSRowVersion","IsLocked","IsStaff"
"13","1","1","Abbe, Bill","Abbe","Bill",,,,,,"Bill Abbe","1892","1972","1892 - 1972",,"ACODE","United States",,"Conversion","2012-05-14 20:54:13.563",,,,,,,,,"0","1","0","5","0","0","1","1892","1972","0x0000000004B91989","0","0"
"3542","5","1","LIFE Magazine",,,,"LIFE Magazine",,,,"LIFE Magazine","0","0",,,"ACODE",,,"Conversion","2012-05-14 20:57:57.340",,,,,,,,,"0","1","0","3534","0","0","-1",,,"0x0000000004B923DD","0","0"
