continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,placepublished,norm_combined,occurrences,norm_fingerprint,uncontrolled_value,proximity_note,uncertainty_note,place_note,clean_combined
,USA,,,North Carolina,,Penland,,,,,,,,,,,country: USA|||state: North Carolina|||city: Penland,4,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9QZW5sYW5k4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Penland
,USA,,,North Carolina,,Raleigh,,,,,,,,,,,country: USA|||state: North Carolina|||city: Raleigh,3,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Raleigh
,USA,,,North Carolina,,Shelton Laurel,,,,,,,,,,,country: USA|||state: North Carolina|||city: Shelton Laurel,2,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TaGVsdG9uIExhdXJlbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,,,,,country: USA|||state: North Carolina|||city: Shelton Laurel
,USA,,,North Carolina,,Spruce Pine,,,,,,,,,,,country: USA|||state: North Carolina|||city: Spruce Pine,2,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TcHJ1Y2UgUGluZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,,,,,country: USA|||state: North Carolina|||city: Spruce Pine
,USA,,,North Carolina,,Stem,,,,,,,,,,,country: USA|||state: North Carolina|||city: Stem,1,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9TdGVt4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Stem
,USA,,,North Carolina,,Tallyho,,,,,,,,,,,country: USA|||state: North Carolina|||city: Tallyho,1,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhv4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Tallyho
,USA,,,North Carolina,,"Tallyho , Granville County",,,,Stem,,,,,,,"country: USA|||state: North Carolina|||city: Tallyho , Granville County|||notes: Stem",1,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhvICwgR3JhbnZpbGxlIENvdW50eeKQn25pbOKQn25pbOKQn25pbOKQn1N0ZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,,,,,"country: USA|||state: North Carolina|||city: Tallyho , Granville County|||notes: Stem"
,USA,,,North Carolina,,Wadesboro,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wadesboro,2,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYWRlc2Jvcm/ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,,,,,country: USA|||state: North Carolina|||city: Wadesboro
,USA,,,North Carolina,,Wendell,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wendell,4,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XZW5kZWxs4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Wendell
,USA,,,North Carolina,,Wing,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wing,1,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XaW5n4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: USA|||state: North Carolina|||city: Wing
,USA,,,North Carolina,,Yanceyville,,,,,,,,,,,country: USA|||state: North Carolina|||city: Yanceyville,2,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9ZYW5jZXl2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,,,,,country: USA|||state: North Carolina|||city: Yanceyville
,United States of America,,,North Carolina,,Waynesville,,,,,,,,,,,country: United States of America|||state: North Carolina|||city: Waynesville,1,bmls4pCfVW5pdGVkIFN0YXRlcyBvZiBBbWVyaWNh4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYXluZXN2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,,,,,country: United States of America|||state: North Carolina|||city: Waynesville
,United States,,,North Carolina,Burke County,Salem,,,,,,,,,,,country: United States|||state: North Carolina|||county: Burke County|||city: Salem,1,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfQnVya2UgQ291bnR54pCfU2FsZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,,,,,country: United States|||state: North Carolina|||county: Burke County|||city: Salem
,United States,,,North Carolina,Wake County,Raleigh,,,,,,,,,,,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh,1,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfV2FrZSBDb3VudHnikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,,,,,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh
,,,,North Carolina,,,,,,,,,,,,,state: North Carolina,3,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,,,,,state: North Carolina
,,,,North Carolina,,Beria,,,,,,,,,,,state: North Carolina|||city: Beria,5,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CZXJpYeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,,,,,state: North Carolina|||city: Beria
